,From,bei-jing-DC,chang-sha-DC,cheng-du-DC,chong-qing-DC,da-lian-DC,dong-guan-DC,guang-zhou-DC,ha-er-bin-DC,hang-zhou-DC,nan-jing-DC,ning-bo-DC,qing-dao-DC,shang-hai-DC,shen-zhen-DC,tian-jin-DC,wu-han-DC,xi-an-DC,zheng-zhou-DC
0,gang-kou-CDC,2071.0,889.0,2055.0,1753.0,2805.0,598.0,648.0,3311.0,934.0,1160.0,834.0,1694.0,1028.0,577.0,1997.0,1031.0,1820.0,1532.0
1,nei-lu-CDC,57.0,1461.0,1841.0,1752.0,837.0,2131.0,2122.0,1346.0,1276.0,999.0,1327.0,651.0,1154.0,2147.0,91.0,1132.0,1071.0,698.0
