,0
0,1200.0
1,1200.0
2,2000.0
3,2200.0
4,1140.0
5,1300.0
6,8000.0
7,2500.0
8,1050.0
9,1500.0
10,2500.0
11,10000.0
12,2500.0
13,1000.0
14,3500.0
15,1800.0
16,3000.0
17,800.0
18,1200.0
19,1450.0
