,0
0,bei-jing-DC
1,chang-sha-DC
2,cheng-du-DC
3,chong-qing-DC
4,da-lian-DC
5,dong-guan-DC
6,gang-kou-CDC
7,guang-zhou-DC
8,ha-er-bin-DC
9,hang-zhou-DC
10,nan-jing-DC
11,nei-lu-CDC
12,ning-bo-DC
13,qing-dao-DC
14,shang-hai-DC
15,shen-zhen-DC
16,tian-jin-DC
17,wu-han-DC
18,xi-an-DC
19,zheng-zhou-DC
