,From,bei-jing-DC,chang-sha-DC,cheng-du-DC,chong-qing-DC,da-lian-DC,dong-guan-DC,guang-zhou-DC,ha-er-bin-DC,hang-zhou-DC,nan-jing-DC,ning-bo-DC,qing-dao-DC,shang-hai-DC,shen-zhen-DC,tian-jin-DC,wu-han-DC,xi-an-DC,zheng-zhou-DC
0,gang-kou-CDC,1332.0,649.0,1349.0,1209.0,1732.0,421.0,449.0,2024.0,696.0,852.0,624.0,1148.0,801.0,404.0,1298.0,757.0,1212.0,1032.0
1,nei-lu-CDC,110.0,1026.0,1279.0,1247.0,682.0,1386.0,1391.0,1003.0,949.0,738.0,976.0,491.0,885.0,1398.0,115.0,832.0,813.0,496.0
